,ticker,todaysChangePerc,todaysChange,updated,day,min,prevDay
0,HOLOW,160.43478260869566,0.0369,1705944900000000000,"{'o': 0.0593, 'h': 0.0599, 'l': 0.0593, 'c': 0.0599, 'v': 423, 'vw': 0.05281}","{'av': 275, 't': 1705944840000, 'n': 2, 'o': 0.0593, 'h': 0.0599, 'l': 0.0593, 'c': 0.0599, 'v': 200, 'vw': 0.0596}","{'o': 0.023, 'h': 0.023, 'l': 0.0229, 'c': 0.023, 'v': 3266, 'vw': 0.02303}"
1,SGMT,153.8123167155425,10.489999999999998,1705969323041840724,"{'o': 15, 'h': 20.71, 'l': 12.1, 'c': 18.42, 'v': 36141009.0, 'vw': 15.3455}","{'av': 36141009.0, 't': 1705969260000, 'n': 7, 'o': 17.31, 'h': 17.31, 'l': 17.31, 'c': 17.31, 'v': 650, 'vw': 17.3115}","{'o': 6.56, 'h': 6.9142, 'l': 6.35, 'c': 6.82, 'v': 96866, 'vw': 6.6622}"
2,NCPLW,128.46153846153848,0.0167,1705956000000000000,"{'o': 0.0198, 'h': 0.0297, 'l': 0.0198, 'c': 0.0297, 'v': 340, 'vw': 0.02271}","{'av': 340, 't': 1705955940000, 'n': 1, 'o': 0.0297, 'h': 0.0297, 'l': 0.0297, 'c': 0.0297, 'v': 100, 'vw': 0.0297}","{'o': 0.013, 'h': 0.013, 'l': 0.013, 'c': 0.013, 'v': 2504, 'vw': 0.01301}"
3,PTIXW,108.33333333333334,0.005200000000000001,1705937580000000000,"{'o': 0.01, 'h': 0.01, 'l': 0.01, 'c': 0.01, 'v': 654, 'vw': 0.01}","{'av': 554, 't': 1705937520000, 'n': 1, 'o': 0.01, 'h': 0.01, 'l': 0.01, 'c': 0.01, 'v': 154, 'vw': 0.01}","{'o': 0.0048, 'h': 0.0048, 'l': 0.004, 'c': 0.0048, 'v': 1200, 'vw': 0.004667}"
4,BCSAW,103.29670329670328,0.037599999999999995,1705955520000000000,"{'o': 0.0509, 'h': 0.08, 'l': 0.0505, 'c': 0.074, 'v': 9810, 'vw': 0.06}","{'av': 9810, 't': 1705955460000, 'n': 16, 'o': 0.0701, 'h': 0.074, 'l': 0.0701, 'c': 0.074, 'v': 2000, 'vw': 0.07208}","{'o': 0.0364, 'h': 0.0364, 'l': 0.0364, 'c': 0.0364, 'v': 100, 'vw': 0.0364}"
5,SLACW,99.60079840319362,0.04990000000000001,1705956900000000000,"{'o': 0.0601, 'h': 0.1, 'l': 0.0601, 'c': 0.1, 'v': 51493, 'vw': 0.09692}","{'av': 51393, 't': 1705956840000, 'n': 1, 'o': 0.1, 'h': 0.1, 'l': 0.1, 'c': 0.1, 'v': 2000, 'vw': 0.1}","{'o': 0.0455, 'h': 0.06, 'l': 0.0355, 'c': 0.0501, 'v': 17775, 'vw': 0.04221}"
6,CNGLW,92.0,0.0115,1705950120000000000,"{'o': 0.0195, 'h': 0.024, 'l': 0.0195, 'c': 0.024, 'v': 7500, 'vw': 0.02382}","{'av': 7500, 't': 1705950060000, 'n': 1, 'o': 0.024, 'h': 0.024, 'l': 0.024, 'c': 0.024, 'v': 7201, 'vw': 0.024}","{'o': 0.0125, 'h': 0.0125, 'l': 0.0125, 'c': 0.0125, 'v': 10121, 'vw': 0.0125}"
7,ZAPPW,87.49999999999999,0.006999999999999999,1705952400000000000,"{'o': 0.0099, 'h': 0.015, 'l': 0.0099, 'c': 0.015, 'v': 11552, 'vw': 0.01374}","{'av': 11552, 't': 1705952340000, 'n': 5, 'o': 0.015, 'h': 0.015, 'l': 0.015, 'c': 0.015, 'v': 5925, 'vw': 0.015}","{'o': 0.008, 'h': 0.008, 'l': 0.0062, 'c': 0.008, 'v': 4804, 'vw': 0.007137}"
8,CMAXW,85.18518518518518,0.0046,1705957200000000000,"{'o': 0.007782, 'h': 0.01, 'l': 0.006, 'c': 0.01, 'v': 58435, 'vw': 0.009602}","{'av': 58435, 't': 1705957140000, 'n': 8, 'o': 0.009, 'h': 0.01, 'l': 0.009, 'c': 0.01, 'v': 50191, 'vw': 0.009947}","{'o': 0.0058, 'h': 0.0078, 'l': 0.0054, 'c': 0.0054, 'v': 41620, 'vw': 0.006049}"
9,DWAC,82.71417740712663,21.820000000000004,1705969328851819079,"{'o': 29.33, 'h': 50.2, 'l': 29.21, 'c': 49.69, 'v': 29577488.0, 'vw': 41.0821}","{'av': 29577227.0, 't': 1705969200000, 'n': 37, 'o': 48.67, 'h': 48.67, 'l': 48.45, 'c': 48.45, 'v': 1730, 'vw': 48.5405}","{'o': 25.95, 'h': 28.05, 'l': 25.11, 'c': 26.38, 'v': 5407490.0, 'vw': 26.4272}"
10,BREA,74.37805161590327,0.9597,1705969140000000000,"{'o': 1.39, 'h': 2.62, 'l': 1.3, 'c': 2.17, 'v': 3471577.0, 'vw': 2.1063}","{'av': 3471460.0, 't': 1705969080000, 'n': 14, 'o': 2.28, 'h': 2.28, 'l': 2.25, 'c': 2.25, 'v': 2374, 'vw': 2.2655}","{'o': 1.3, 'h': 1.39, 'l': 1.1, 'c': 1.2903, 'v': 35596, 'vw': 1.2888}"
11,DWACW,73.45454545454544,8.079999999999998,1705968660000000000,"{'o': 13.88, 'h': 18.7, 'l': 12.96, 'c': 18.5, 'v': 1513389.0, 'vw': 16.265}","{'av': 1513196.0, 't': 1705968600000, 'n': 1, 'o': 19.08, 'h': 19.08, 'l': 19.08, 'c': 19.08, 'v': 201, 'vw': 19.08}","{'o': 9.68, 'h': 11.6, 'l': 9.39, 'c': 11, 'v': 381733, 'vw': 10.569}"
12,RUMBW,70.73170731707317,0.58,1705969200000000000,"{'o': 0.94, 'h': 1.19, 'l': 0.9, 'c': 1.17, 'v': 213484, 'vw': 1.0381}","{'av': 213484, 't': 1705969140000, 'n': 1, 'o': 1.4, 'h': 1.4, 'l': 1.4, 'c': 1.4, 'v': 330, 'vw': 1.4}","{'o': 0.75, 'h': 0.82, 'l': 0.6888, 'c': 0.82, 'v': 37357, 'vw': 0.7741}"
13,SMXWW,68.96551724137932,0.002,1705957200000000000,"{'o': 0.0048, 'h': 0.0049, 'l': 0.0048, 'c': 0.0049, 'v': 10000, 'vw': 0.004895}","{'av': 10000, 't': 1705957140000, 'n': 2, 'o': 0.0048, 'h': 0.0049, 'l': 0.0048, 'c': 0.0049, 'v': 10000, 'vw': 0.004895}","{'o': 0.0028, 'h': 0.0029, 'l': 0.0028, 'c': 0.0029, 'v': 4614, 'vw': 0.00285}"
14,BEEMW,67.6210909999665,0.4437580000000001,1705956060000000000,"{'o': 1.25, 'h': 1.35, 'l': 1.1, 'c': 1.1, 'v': 6315, 'vw': 1.235}","{'av': 6242, 't': 1705956000000, 'n': 1, 'o': 1.1, 'h': 1.1, 'l': 1.1, 'c': 1.1, 'v': 100, 'vw': 1.1}","{'o': 0.656242, 'h': 0.656242, 'l': 0.656242, 'c': 0.656242, 'v': 122, 'vw': 0.6919}"
15,TGVCW,66.66666666666666,0.008,1705935360000000000,"{'o': 0.02, 'h': 0.02, 'l': 0.02, 'c': 0.02, 'v': 1300, 'vw': 0.02}","{'av': 1300, 't': 1705935300000, 'n': 3, 'o': 0.02, 'h': 0.02, 'l': 0.02, 'c': 0.02, 'v': 300, 'vw': 0.02}","{'o': 0.0191, 'h': 0.0191, 'l': 0.012, 'c': 0.012, 'v': 5200, 'vw': 0.01483}"
16,DWACU,64.09375,20.509999999999998,1705956540000000000,"{'o': 37.16, 'h': 57.79, 'l': 37.16, 'c': 52.51, 'v': 28920, 'vw': 44.9092}","{'av': 28495, 't': 1705956480000, 'n': 1, 'o': 52.51, 'h': 52.51, 'l': 52.51, 'c': 52.51, 'v': 200, 'vw': 52.51}","{'o': 30, 'h': 32.99, 'l': 30, 'c': 32, 'v': 3564, 'vw': 31.2477}"
17,SVMHW,62.721893491124284,0.010600000000000002,1705957200007609595,"{'o': 0.0138, 'h': 0.0275, 'l': 0.0138, 'c': 0.0275, 'v': 647, 'vw': 0.01592}","{'av': 547, 't': 1705944840000, 'n': 1, 'o': 0.0138, 'h': 0.0138, 'l': 0.0138, 'c': 0.0138, 'v': 547, 'vw': 0.0138}","{'o': 0.0189, 'h': 0.019969, 'l': 0.0168, 'c': 0.0169, 'v': 51298, 'vw': 0.0175}"
18,BREZR,62.35294117647059,0.053000000000000005,1705957128939279999,"{'o': 0.12, 'h': 0.145101, 'l': 0.1178, 'c': 0.138, 'v': 108848, 'vw': 0.1366}","{'av': 108848, 't': 1705957080000, 'n': 4, 'o': 0.1415, 'h': 0.1415, 'l': 0.138, 'c': 0.138, 'v': 1373, 'vw': 0.1391}","{'o': 0.09, 'h': 0.1379, 'l': 0.0764, 'c': 0.085, 'v': 68832, 'vw': 0.09369}"
19,PHUN,60.73401736385161,0.15389999999999998,1705969339281866663,"{'o': 0.28015, 'h': 0.4, 'l': 0.28015, 'c': 0.3587, 'v': 770758660.0, 'vw': 0.3461}","{'av': 770758660.0, 't': 1705969260000, 'n': 280, 'o': 0.40695, 'h': 0.4086, 'l': 0.4067, 'c': 0.4086, 'v': 70193, 'vw': 0.4073}","{'o': 0.2132, 'h': 0.263, 'l': 0.18, 'c': 0.2534, 'v': 552862213.0, 'vw': 0.2375}"
20,ENCPW,60.0,0.0075,1705950480000000000,"{'o': 0.0165, 'h': 0.02, 'l': 0.0126, 'c': 0.02, 'v': 4114, 'vw': 0.01824}","{'av': 4114, 't': 1705950420000, 'n': 19, 'o': 0.0165, 'h': 0.02, 'l': 0.0126, 'c': 0.02, 'v': 4114, 'vw': 0.01824}","{'o': 0.0165, 'h': 0.0174, 'l': 0.0125, 'c': 0.0125, 'v': 1807, 'vw': 0.01486}"
